S/n,Date created,Studio type,Company Name,Company location,State/City,Founding Year,Founder(s) Background (Briefly),"#FTEs 
(can fill in later)",Previous games developed (if any),"Game(s) under Development (Description e.g. platform, genre, etc.)",Tier,"Commentary (e.g. link to call notes, pitch deck, etc.)",Vid comments/interest,RP interest
1,21/Aug/2025,"Indie
Mid scale",Rare Reversee,VN,Ho Chi Minh,After 2019,"Founders: Khoa
 - Organizational Structure: before working as game studio, they are mostly Production studio that focus on CGI (outsourced quite a few projects with AoV for Hero/Skin CGI on a frequent basic). Then by chance they help an indie who's struggling with their horro game, eventually leading to acquiring that group of talent and continue the game from then, which transformed them into a studio game that aim for more games in the future
 - Direction: continue with their main strength as Production house, but that is to ensure their financial factor to make game for long term, especially PC game with high quality not only in term of visual, but also other elements of the game to make VN game more well-known
 - Notable Products: The Scrouge ",Under 30,The Scrouge ,"The Scrouge 

Genre: Classic horror narrative game
Theme: Horror (mild)
Topic: urban legend ghost story
Status: Game launch, pending for DLC
Review: Very positive so far
Publisher: N/A
Steam link & Demo: https://store.steampowered.com/app/2456350/The_Scourge__Tai_ng",1 / 2,N/A,,
2,20/Aug/2025,Indie,IndieLab,VN,Ha Noi,After 2021,"Founders: Ngọc
 - Organizational Structure: previously named as Tripple Brick Games with another Founder that shared resources and worked on their previous game - Legendary Hoplite. Now they change the name of the Studio into Indielab. Most of their staff work remotely as they locate across Vietnam and don't have enough finance to gather together and work at the same place, for now.
 - Direction: as of now are mostly PC Steam RPG games which put strong emphasis on strategy factor 
 - Notable Products: previous game - Legendary Hoplite launched 2024 (Mixed review)",Under 15,Legendary Hoplite,"Just a Shadow game

Genre: PvE turn-based deckbuilding with a bit of Roguelite
Theme: Horror (mild)
Status: Most of the game direction are finalized, pending to finished content which is chapter based
Review: Very positive so far
Publisher: they signed with Neon Doctrine
Steam link & Demo: https://store.steampowered.com/app/3456690/Just_A_Shadow_Game_Demo",1 / 2,Pitch deck,,v
3,20/Aug/2025,Indie,Umer Gameworks,VN,Ha Noi,After 2022,"Indie with 3 team members, who work remotely since they don't have budget to set up their office yet
 - Structure: 1 Project manager (also Game designer), 1 Game designer, 1 Game developer
 - Direction: make better games, for now focus on Steam as platform to improve their game dev skill
 - Notable product: Ursid",3,Ursid,"Genre: cozy puzzle
Theme: Cozy, relaxed, touching
Status: completed and launched, but due to their inexperience of preparation for launch phase, which resulted in their first product didn't make good use of new game buff, thus barely be able to reach for more user
Review: Positive
Publisher: N/A
Price: ~2.9 USD
Demo: available - https://store.steampowered.com/app/1479810/Legendary_Hoplite",1 / 2,Pitch deck,,v
4,20/Aug/2025,Solo developer,IRIS,VN,Ha Noi,After 2022,"Indie - Solo developer
Thi started this project around mid 2024, and worked on this project during his spare time.
He is inspirted by narrative, and wanna explore different perspectives, and turn those into an actual quality game
He has not yet planned out exactly what's next, now he more focus on finished the game then see how it goes",1,The Silent Jungle,"Genre: classic PvE shooter top down 
Theme: survival horror, not jumpscare but psychology
Topic: based on the US-Vietnam war, but focus on a veteran US soldier. The twist is the game not being about the war, but about the psychology factor of the US soldier's back story
Status: Most of the game direction are finalized, pending to finished content which is chapter based
Demo: available - https://store.steampowered.com/app/3593760/The_Silent_Jungle",1,N/A,,v
5,23/Jul/2025,"Company
Mid scale",Ondi Games,VN,Ha Noi,~2021-2022,"Founded ~2021-2022, by Thuan, ex-Zitga (left Zitga ~2018).
 - Size: ~50 members, in a short term Thuan will try to maintain this optimized number
 - Structure: most lead directly by Thuan, as he purposely stays hands on, remove middle manager to reduce communication cost, more effeciency
 - Company core values: Competitive, Customer prioritised, Healthy environment, Be kind to each other
 - Direction: focus on midcore game, actually one of the very rare few studios in Vietnam that focus entirely on midcore, especially consider the fact that ~2021-2022 era is when game studios are easily swayed by Crypto, yet they focus on their vision
 - Notable product: their latest game Fortias Saga, featured by Apple in a recent event this May'25
 - Note: Thuan, aside from Ondi game (which is his current main focus), also has a few other businesses, as well as the fact that he's investing both in term of finance and other support such as legal, finance resource for a few indie mobile studio, whom he thought has potential. Therefore, in a sense, he's currently more as a business man",50,"Fortias Saga
Hero Blitz
Shadow Rival
Shadow Slayer
Kingdom War",,1,To be updated,,
6,23/Jul/2025,"Indie
Mid scale",Soliz Games,VN,Ha Noi,~2020," - Size: ~20 team members, and since the pool of UE5 in VN doesn't have much choice, they go for both the approach of looking for the rare experienced and training the newbies. Also they adapt fast, and make needed changes such as fire those don't perform to look and train for new ones
 - Structure: in term of Art direction then oversee mostly by Founder Bằng Anh, in term of tech and finance then mostly by Co-Founder Linh
 - Direction: both founders highly resonnate and motivate by good narrative, thus explain why even though their game Zone 9 is not finished, they already invested into the world building of the light novel. Other than that, they are passionated with high quality & detail visual to cope with their world building, thus choosing the more challenging approach of UE5 instead of the more popular choice of Unity to go for the supposedly first AAA game in VN
 - Notable product: most of their works are related to oursource other service using UE5 to help with their core as game dev, so Zone 9 is actually their first game
",20,N/A,"Zone 9:
 - Platform: Epic (TBD)
 - Unreal 5
 - IP: have developed a standalone light novel named Heaven 9, which is of good story telling by itself; the story is still on going 
 - Genre: 5v5 PvPvE 3rd person shooter 
     + vE factors: multiple types of zombie, and big boss Zombie (similar to Baron [LoL]), and survival elements. Also there are two phases day and night which heavily impact gameplay, i.e at night the zombies would be more dangerous, and players have limited vision
    + vP: Kill for points, death lose items which requires players to loot for items again (in the match only, not the extraction type). Whichever team get the needed point will win the game",1 / 2 / 3,"To be updated.
Deck: https://docs.google.com/presentation/u/0/d/1d99-7iKZSF61SlVXCLWc7SiSdvscgzEO/mobilepresent",,
7,23/Jul/2025,Big company,Amanotes,VN,Ha Noi,2015,"Founders: Võ Tuấn Bình (CEO) & Nguyễn Tuấn Cường (Co‑founder)
 - Size: ~ 110 employees 
 - Organizational Structure: Focused on music game development; includes dedicated R&D, publishing, and marketing teams. They also work with other game dev companies to make music hyper/hybrid game, then they will publish those games to global market
 - Core Values: “Everyone can Music” — committed to delivering musical experiences globally.
 - Direction: Developing music-tech and casual/hybrid games with mass-market appeal. In recent years, they seem to be trying to aim for mid core games with music as one of the key gaming design
 - Notable Product: Magic Tiles 3 (and other Piano Tiles titles) with billion downloads ",110,Magic Tiles 3,,4,,,
8,23/Jul/2025,Big company,Ikame,VN,Ha Noi,2014,"Founder: Quyet
 - Organizational Structure: Develops games and apps with an emphasis on creativity and technology; aims to become “Top in SEA.”. In term of games then they focus on internal resource, in term of apps then they do put effort working with oversea such as Pakistan...
 - Core Values: Put emphasis on together, such as On fire... etc 
 - Direction: Focused on hyper casual mobile games and apps; recently they are working more on hybrid games, especially with titles such as Screwdom & Bus out, that not only have great download for IAA, but also potential of IAP
 - Notable Product: Screwdom, Bus out",200,Screwdom,,4,,,
9,23/Jul/2025,Big company,Wolf Fun,VN,Ha Noi,2014,"Founder: Khánh
 - Organizational Structure: Unity-based team with R&D, game design, and operations units.
 - Direction: Emphasis on real-time PvP games and Game-Fi/blockchain titles.
 - Notable Products: Tank Raid Online (2017, Google Play Editor’s Choice); Heroes Strike (similar to Brawl Stars) Thetan Arena (a blockchain MOBA that are made from Heroes Strike)",100,Thetan Arena (Moba Blockchain),,4,,,
10,23/Jul/2025,Big company,ABI studio,VN,Ha Noi,2016,"Founded: 2016 (under the umbrella of Onesoft, which was founded in 2010)
 - Company Size: Over 100 employees, as a core development studio under Onesoft
 - Organizational Structure: Independent studio under Onesoft. Teams include game design, development, art, QA, and publishing. Collaborates with other studios within the Onesoft ecosystem (like Falcon, Rocket Studio)
 - Direction: Specializes in arcade, and puzzle mobile games; strong emphasis on hyper-casual and short-session gameplay. Aims for global charting titles with efficient production cycles
 - Notable Product: Cookingdom, Bus Escape Traffic Jam",100,Cookingdom,,4,,,
