slide_number,slide_type,part_number,part_name,section,subsection,category,title,purpose,evidence,visual,takeaway,status,owner,notes
1,cover,,,,,meta,Examining Vietnam Gaming Market Opportunity 2026,Open the deck with the market question and geographic focus.,Deck title and brand framing only.,Bold title slide with Garena-style red accent and Vietnam label.,This deck tests whether Vietnam is a near-term sourcing opportunity in 2026.,seed,,Use as the entry slide for HTML and PowerPoint.
2,divider,01,Executive Summary,Executive Summary,,meta,Executive Summary,Start the summary section.,,Centered section-break title.,"Lead with the answer, then let the body prove it.",seed,,
3,divider,02,Macro & Cultural Factors,Macro & Cultural Factors,,meta,Macro & Cultural Factors,Start the readiness-factor section.,,Section break with subtitle for demand-side and supply-side drivers.,Establish whether Vietnam is becoming more ready for local game success.,seed,,
4,content,02,Macro & Cultural Factors,Demand-side Factors,Income per Capita,demand,Income per Capita Trends & Regional Benchmarking,"Show whether rising purchasing power is improving Vietnam's readiness for higher-value gaming spend, using actual World Bank GDP per capita data through 2024.","World Bank GDP per capita (current US$), Viet Nam:\n- 2015: $2,578\n- 2016: $2,735\n- 2017: $2,956\n- 2018: $3,222\n- 2019: $3,441\n- 2020: $3,534\n- 2021: $3,704\n- 2022: $4,148\n- 2023: $4,323\n- 2024: $4,717\n\n2015-2024 CAGR:\n- Viet Nam: 6.95%\n- Indonesia: 4.59%\n- Philippines: 3.55%\n- Thailand: 2.88%\n- Malaysia: 2.33%","Custom benchmark slide: 2015-2024 Vietnam trend bars on the left, KPI cards plus ASEAN benchmark CAGR bars on the right.","Vietnam still trails richer ASEAN peers on absolute income, but its faster GDP-per-capita growth supports stronger medium-term upside for discretionary gaming spend.",priority,,Source: World Bank.
5,content,02,Macro & Cultural Factors,Demand-side Factors,Demand for Digital Entertainment,demand,Demand for Digital Entertainment,"Use official sector-value data to infer long-run demand growth for digital entertainment in Vietnam, on a 2015-2024 window consistent with slide 8.","National Statistics Office of Vietnam sector-value series, 2015-2024:\n- Information & Communication (VND bn): 29,392 to 387,489\n- Arts & Entertainment (VND bn): 24,969 to 71,488\n\n2015-2024 CAGR:\n- Information & Communication: 33.18%\n- Arts & Entertainment: 12.40%","Line chart with 2 lines: Information & Communication and Arts & Entertainment, plus two CAGR scorecards.","The steady uptrend in demand for Information & Communication and Arts & Entertainment services probably implies a steady rise in demand for digital entertainment, including games.",priority,,Source: National Statistics Office of Vietnam.
6,content,02,Macro & Cultural Factors,Demand-side Factors,Demographics,demand,Demographics of Vietnamese Gamers,Use actual game-level demographics to show which age cohorts dominate the highest-grossing mobile games in Vietnam.,"Top 10 grossing games in Vietnam by 2025 revenue from the local warehouse, with age-bucket distributions pulled from Sensor Tower demographics and combined across app variants using average 2025 VN DAU as weights.\n\nImportant method note:\n- Revenue ranking is Vietnam-only\n- Demographics use Sensor Tower's SE_ASIA geography because VN is not supported directly by that endpoint\n- App-level demographic mixes are combined using avg DAU in Vietnam during 2025\n- Sensor Tower bucket labels are rendered here as age bands: 0-17, 18-24, 25-34, 35-44, 45-54","Stacked horizontal bar chart by game using age bands 0-17, 18-24, 25-34, 35-44, and 45-54, plus a short portfolio read-through.","Mobile gamers of biggest games in Vietnam are mostly made up of those who are under 25 years old, with the age group of 18-24 contributing the most players.",priority,,Source: SensorTower (Revenue-adjusted for Vietnam market; Demographics of SE_ASIA is used as proxy for VN and app variants are combined using average 2025 VN DAU weights).
7,content,02,Macro & Cultural Factors,Demand-side Factors,Historical Demographic Changes,demand,Vietnam Overall Demographics,Recreate Vietnam's changing population pyramid from 1950 to 2025 so we can visually explain how the country's age structure evolved into today's gaming-relevant demographic base.,"Annual Vietnam age-by-sex population pyramid data for 1950-2025, including total population and median age. Local recreation based on PopulationPyramids.org and UN World Population Prospects 2024.","Interactive animated population pyramid with play controls, year slider, and quick-jump buttons.","Vietnam has a large under-25 population of 37.2 million, equal to 36.6% of the population, which serves as a major potential target audience for gaming.",priority,,Source: PopulationPyramids.org / UN World Population Prospects 2024.
8,content,02,Macro & Cultural Factors,Demand-side Factors,Under-25 Population Trend,demand,"Under-25 Population Trend, 1980-2025",Show how Vietnam's under-25 audience base has evolved over time in both absolute size and share of population.,"Vietnam under-25 population (0-24) from 1980 to 2025, using the same local population-pyramid dataset as slide 11. Bar = number of people. Line = under-25 share of total population.","Combo chart with bars for under-25 people and line for under-25 percentage share, 1980-2025.","With a rapidly aging population and low replacement rate, Vietnam's under-25 population has already been in a downtrend. If this trend continues, games with mostly youthful user bases will eventually face active-user pressure.",priority,,Source: PopulationPyramids.org / UN World Population Prospects 2024.
9,content,02,Macro & Cultural Factors,Demand-side Factors,Hardware,demand,Hardware,"Show that device access and connectivity are already strong enough to support mass mobile play, meaningful PC play, and limited console play.",Hardware and connectivity evidence:\n- 100.7M smartphone subscribers in Feb 2024\n- 127.6 mobile cellular subscriptions per 100 people in 2024\n- 84.15% internet users in 2024\n- 99% 4G population coverage in Nov 2024\n- 90% 5G population coverage by Feb 2026\n- 82.3% of households on fiber in Oct 2024\n- 68% of urban 18-39 respondents owned a desktop or laptop in a 2017 Q&Me survey\n- Console penetration remains below 5%,Custom hardware-readiness slide with mobile access metrics on the left and PC / console context on the right.,"Vietnam is already a mobile-first hardware market: smartphone and internet access are effectively mass-market, urban PC ownership is still meaningful, and console remains niche.",priority,,"Sources: Freedom House, World Bank/TradingEconomics, Vietnam+, VietnamNet, VnExpress, Pew Research, Q&Me, Digital in Asia."
10,content,02,Macro & Cultural Factors,Demand-side Factors,Console Button Era,demand,Vietnam Gaming History: Console Button Era,"Show how gaming first took root in Vietnam through rented consoles, arcade corners, and neighborhood spectators before any formal industry existed.","Era focus:
- 1990s
- Famicom / NES clones and PS1 as luxury devices
- Cartridge console shops and arcade centers
- Hyper-local, face-to-face gaming culture","Large placeholder collage on the left, structured era panel on the right, and static four-era tabs on top.","Gaming in Vietnam began as a local, face-to-face pastime built around rented consoles and shared neighborhood play.",priority,,Source: The Evolution of Gaming in Vietnam research document.
