slide_number,slide_type,part_number,part_name,section,subsection,category,title,purpose,evidence,visual,takeaway,status,owner,notes
2,meta,,,Scope,Hypothesis,meta,Project Scope & Key Hypothesis,Define market boundaries and the working hypothesis before evidence starts.,Scope:\n- Vietnam gaming market only\n- Mobile and PC only\n- Mid-core and casual only; exclude hypercasual and hybridcasual\n\nHypothesis:\n- Opportunity window may emerge over the next 1-3 years.,"Two-card layout: scope on the left, hypothesis on the right.",This project is not a generic gaming overview; it is a focused sourcing decision exercise.,seed,,Derived from outline note and hypothesis rows.
3,agenda,,,Agenda,,meta,Agenda,Give a high-level map of the full deck structure.,Parts:\n1. Executive Summary\n2. Macro & Cultural Factors\n3. Demand Analysis\n4. Supply Analysis\n5. Demand-Supply Balance\n6. Conclusion,"Agenda table with part number, section name, and objective.","The deck moves from readiness factors to demand, supply, equilibrium, and recommendation.",seed,,Useful summary slide when iterating with stakeholders.
5,content,01,Executive Summary,Executive Summary,Market answer,summary,Answer first: is Vietnam a 1-3 year sourcing opportunity?,State the investment answer up front before the supporting evidence.,Placeholders:\n- One-sentence answer\n- Three proof points\n- Two main risks\n- Confidence level,Executive scorecard or recommendation panel.,Vietnam likely offers a meaningful near-term opportunity if demand readiness rises faster than supply of high-quality local games.,outline,,
6,content,01,Executive Summary,Executive Summary,Sourcing implication,summary,Implication for 2026 sourcing strategy,Translate the market answer into what Garena should actually do.,Placeholders:\n- Target genres\n- Studio profile to prioritize\n- What to avoid\n- Timing window,Priority matrix by genre and sourcing route.,"We should pursue a selective sourcing thesis, not a broad market bet.",outline,,
25,divider,02,Macro & Cultural Factors,Supply-side Factors,,meta,Supply-side Factors,Start the supply-side subsection inside macro and cultural factors.,,Sub-section cover slide for supply-side drivers.,"This subsection tests whether Vietnam's studios, policy framework, and economics can actually support a sourcing thesis.",seed,,
29,content,02,Macro & Cultural Factors,Demand-side Factors,Social Acceptance & Gaming Culture,demand,Social Acceptance & Gaming Culture,Close the culture section with implications for product fit and sourcing.,Continuation slide for synthesis and implication framing.,Conclusion panel or culture-to-opportunity bridge.,This section should land on how cultural fit affects local title breakout odds.,outline,,Placeholder 3 of 3.
30,content,02,Macro & Cultural Factors,Demand-side Factors,Preference for Domestic Entertainment Content,demand,Preference for Domestic Entertainment Content,Determine whether local content affinity creates an edge for Vietnamese-made games.,To fill later:\n- Evidence from entertainment consumption\n- Domestic vs. imported content preference\n- Relevance to game art/theme/story\n- Implication for Made in VN titles,Content preference comparison or local-vs-global resonance ladder.,"Domestic affinity may not guarantee hits, but it can improve discoverability and emotional fit.",outline,,Placeholder 1 of 3.
31,content,02,Macro & Cultural Factors,Demand-side Factors,Preference for Domestic Entertainment Content,demand,Preference for Domestic Entertainment Content,"Continue with examples, analogs, or case studies from adjacent entertainment categories.","Continuation slide for examples, charts, or case studies.",Case-study layout or comparison table.,"The key is whether domestic resonance can convert into game preference, not just viewership or fandom.",outline,,Placeholder 2 of 3.
32,content,02,Macro & Cultural Factors,Demand-side Factors,Preference for Domestic Entertainment Content,demand,Preference for Domestic Entertainment Content,Close with a synthesized implication for Made in VN opportunity.,Continuation slide for summary and implication framing.,Implication panel tying local preference to sourcing attractiveness.,"Use this section to bridge cultural preference into product opportunity, not national sentiment alone.",outline,,Placeholder 3 of 3.
33,content,02,Macro & Cultural Factors,Supply-side Factors,Quality of Made in VN Games / Capability of VN Studios,supply,Quality of Made in VN Games / Capability of VN Studios,Evaluate whether local studios can deliver mid-core and casual titles that compete on quality.,To fill later:\n- Representative local titles\n- Production quality benchmarks\n- LiveOps capability\n- Team maturity and specialization,"Capability maturity ladder, benchmark gallery, studio landscape map.",Supply quality is the gating factor; opportunity improves if leading studios can cross the quality threshold consistently.,outline,,Placeholder 1 of 2.
